employee_id,department,job_title,hire_date,salary,bonus,performance_score,satisfaction_score,age,gender,education
EMP-0001,Engineering,DevOps Engineer,2023-07-09,130167,14895.0,2.5,3.5,34,Non-binary,Bachelor's
EMP-0002,Finance,Accountant,2018-12-24,129874,8776.0,4.7,3.7,48,Non-binary,Bachelor's
EMP-0003,Operations,COO Staff,2021-01-27,66910,1566.0,1.4,4.6,23,Male,High School
EMP-0004,Finance,FP&A Manager,2020-05-07,106096,5652.0,1.4,2.1,45,Female,Bachelor's
EMP-0005,Engineering,DevOps Engineer,2022-09-12,159828,9025.0,1.0,1.4,43,Male,Master's
EMP-0006,Marketing,SEO Specialist,2017-01-29,60033,3532.0,2.5,2.8,41,Female,Bachelor's
EMP-0007,Operations,COO Staff,2023-02-18,108935,2276.0,3.6,2.9,41,Male,Master's
EMP-0008,Sales,Sales Rep,2021-11-21,119294,376.0,4.0,3.9,37,Male,High School
EMP-0009,Sales,BDR,2022-11-19,77578,5646.0,1.1,2.7,28,Female,PhD
EMP-0010,Sales,Account Executive,2018-08-11,96015,2936.0,4.5,2.2,56,Non-binary,High School
EMP-0011,HR,HR Generalist,2021-06-28,134100,4071.0,4.7,4.2,46,Male,Bachelor's
EMP-0012,Engineering,DevOps Engineer,2019-06-19,105768,1932.0,3.4,1.9,51,Male,Bachelor's
EMP-0013,Engineering,Tech Lead,2022-05-14,107544,13548.0,3.6,3.7,50,Non-binary,Bachelor's
EMP-0014,Marketing,Marketing Analyst,2019-08-17,152105,10111.0,3.3,3.5,25,Non-binary,Bachelor's
EMP-0015,Finance,FP&A Manager,2021-10-14,80119,10369.0,3.0,1.1,53,Non-binary,Bachelor's
EMP-0016,Operations,COO Staff,2020-09-13,137951,18754.0,1.6,4.1,51,Female,Master's
EMP-0017,Finance,FP&A Manager,2016-12-25,165920,11125.0,2.0,3.0,36,Male,Master's
EMP-0018,Engineering,DevOps Engineer,2020-06-22,100088,12226.0,3.4,2.4,29,Male,Master's
EMP-0019,Marketing,Brand Manager,2015-09-26,99558,12474.0,2.5,4.1,55,Male,Bachelor's
EMP-0020,Finance,Accountant,2023-06-09,126325,15770.0,2.2,3.4,29,Non-binary,Bachelor's
EMP-0021,Engineering,DevOps Engineer,2018-02-14,125898,12655.0,1.7,4.2,35,Non-binary,Bachelor's
EMP-0022,Finance,FP&A Manager,2021-01-15,144674,1862.0,1.9,4.5,61,Male,Bachelor's
EMP-0023,Finance,Financial Analyst,2024-01-04,113939,400.0,2.1,2.8,25,Female,Bachelor's
EMP-0024,Sales,Sales Manager,2023-08-20,115333,6005.0,4.2,1.3,28,Non-binary,Master's
